,Premise,Hypothesis,Label
644,ITELはバーミンガムに工場を持っている。,ITELは現在バーミンガムに工場を持っている。,Entailment
645,1992年以来、ITELはバーミンガムにある。現在、1996年である。,ITELは1993年にはバーミンガムにあった。,Entailment
646,ITELは1992年以来、新人編集者を育成してきた。現在、1996年である。,ITELは1993年に新人編集者を育成した。,Neutral
647,ITELは1992年以来、事業を拡張している。現在、1996年である。,ITELは1993年に事業を拡張した。,Entailment
648,1992年以来、ITELは損失を出している。現在、1996年である。,ITELは1993年に損失を出した。,Entailment
649,ITELは1992年以来損失を出している。現在、1996年である。,ITELは1993年に損失を出した。,Entailment
650,1993年3月にAPCOMはITELを設立した。,ITELは1992年に存在した。,Contradiction
653,スミスはジョーンズが去る前に去った。ジョーンズはアンダーソンが去る前に去った。,スミスはアンダーソンが去る前に去った。,Entailment
654,スミスはジョーンズが去った後に去った。ジョーンズはアンダーソンが去った後に去った。,スミスはアンダーソンが去った後に去った。,Entailment
655,スミスが去った。ジョーンズが去った。スミスはジョーンズが去る前に去った。,ジョーンズはスミスが去った後で去った。,Entailment
656,スミスが去った。ジョーンズが去った。スミスはジョーンズが去った後に去った。,ジョーンズはスミスが去る前に去った。,Entailment
657,スミスが去った。ジョーンズが去った。ジョーンズはスミスが去る前に去った。,スミスはジョーンズが去った後に去った。,Entailment
658,ジョーンズが契約書を修正した。スミスが契約書を修正した。ジョーンズがスミスより先に契約書を修正した。,スミスはジョーンズより後に契約書を修正した。,Entailment
659,ジョーンズが契約書を修正した。スミスが契約書を修正した。ジョーンズがスミスより後に契約書を修正した。,スミスはジョーンズより先に契約書を修正した。,Entailment
660,スミスが泳いだ。ジョーンズが泳いだ。スミスはジョーンズが泳ぐ前に泳いだ。,ジョーンズはスミスが泳いだ後に泳いだ。,Neutral
661,スミスが海岸まで泳いだ。ジョーンズが海岸まで泳いだ。スミスはジョーンズが海岸まで泳ぐ前に、海岸まで泳いだ。,ジョーンズはスミスが海岸まで泳いだ後に、海岸まで泳いだ。,Entailment
662,スミスは激怒する前に会議室から出た。,スミスは激怒した。,Neutral
663,スミスは1991年にバーミンガムに住んでいた。,スミスは1992年にバーミンガムに住んでいた。,Neutral
664,スミスは1991年に最初の小説を書いた。,スミスは1992年に最初の小説を書いた。,Contradiction
665,スミスは1991年に小説を書いた。,スミスは1992年に小説を書いた。,Neutral
666,山田は1991年に焼き肉店を経営していた。,山田は1992年にその店を経営していた。,Neutral
667,スミスが1991年に新種を発見した。,スミスはそれを1992年に発見した。,Contradiction
668,スミスが1991年に新種を発見した。,スミスは1992年に新種を発見した。,Neutral
