,Premise,Hypothesis,Label,Time Diff,Type,Prem Fixed,Temp Type
0,金曜日に彼らは結婚した。,水曜日以前彼らは結婚した。,Contradiction,0.2857142857142857,SINGLE_day,True,Forward Past
1,日曜日に彼らは結婚した。,月曜日以降彼らは結婚した。,Contradiction,0.14285714285714285,SINGLE_day,True,Forward Past
2,月曜日に彼らは結婚した。,木曜日以降彼らは結婚した。,Contradiction,0.42857142857142855,SINGLE_day,True,Forward Past
3,金曜日に彼らは結婚した。,木曜日以前彼らは結婚した。,Contradiction,0.14285714285714285,SINGLE_day,True,Forward Past
4,月曜日に彼らは結婚した。,火曜日以前彼らは結婚した。,Entailment,0.14285714285714285,SINGLE_day,True,Forward Past
5,土曜日に、彼らは結婚した。,金曜日以前、彼らは結婚した。,Contradiction,0.14285714285714285,SINGLE_day,True,Backward Past
6,木曜日に、彼らは結婚した。,水曜日以前、彼らは結婚した。,Contradiction,0.14285714285714285,SINGLE_day,True,Backward Past
7,火曜日に、彼らは結婚した。,木曜日以降、彼らは結婚した。,Contradiction,0.2857142857142857,SINGLE_day,True,Backward Past
8,月曜日に、彼らは結婚した。,月曜日以降、彼らは結婚した。,Entailment,0.0,SINGLE_day,True,Backward Past
9,金曜日に、彼らは結婚した。,土曜日以降、彼らは結婚した。,Contradiction,0.14285714285714285,SINGLE_day,True,Backward Past
10,月曜日以降彼らは結婚した。,日曜日以前彼らは結婚した。,Contradiction,0.14285714285714285,SINGLE_day,False,Forward Past
11,火曜日以前彼らは結婚した。,月曜日以前彼らは結婚した。,Neutral,0.14285714285714285,SINGLE_day,False,Forward Past
12,水曜日以降彼らは結婚した。,土曜日以降彼らは結婚した。,Neutral,0.42857142857142855,SINGLE_day,False,Forward Past
13,月曜日以前彼らは結婚した。,水曜日以前彼らは結婚した。,Entailment,0.2857142857142857,SINGLE_day,False,Forward Past
14,月曜日以前彼らは結婚した。,水曜日以前彼らは結婚した。,Entailment,0.2857142857142857,SINGLE_day,False,Forward Past
15,月曜日以前、彼らは結婚した。,火曜日以降、彼らは結婚した。,Contradiction,0.14285714285714285,SINGLE_day,False,Backward Past
16,木曜日以前、彼らは結婚した。,月曜日以降、彼らは結婚した。,Neutral,0.42857142857142855,SINGLE_day,False,Backward Past
17,火曜日以前、彼らは結婚した。,月曜日以前、彼らは結婚した。,Neutral,0.14285714285714285,SINGLE_day,False,Backward Past
18,月曜日以前、彼らは結婚した。,水曜日以降、彼らは結婚した。,Contradiction,0.2857142857142857,SINGLE_day,False,Backward Past
