,Premise,Hypothesis,Label,Time Diff,Type,Prem Fixed,Temp Type
33,9月以前彼らは結婚した。,11月以前彼らは結婚した。,Entailment,0.1666666666666666,SINGLE_month,False,Forward Past
46,1996年に、彼らは結婚した。,1983年以降、彼らは結婚した。,Entailment,0.1287128712871287,SINGLE_year,True,Backward Past
47,1914年に、彼らは結婚した。,1913年以前、彼らは結婚した。,Contradiction,0.0099009900990099,SINGLE_year,True,Backward Past
51,1953年以降彼らは結婚した。,1969年以前彼らは結婚した。,Neutral,0.1584158415841584,SINGLE_year,False,Forward Past
82,土曜日に私たちはディズニーランドに行った。,金曜日以前私たちはディズニーランドに行った。,Contradiction,0.1428571428571428,SINGLE_day,True,Forward Past
210,1932年以前マイケルは家を買った。,1933年以前マイケルは家を買った。,Entailment,0.0099009900990099,SINGLE_year,False,Forward Past
297,5月以降、リリーは飛行機でニューヨークに行った。,7月以前、リリーは飛行機でニューヨークに行った。,Neutral,0.1666666666666666,SINGLE_month,False,Backward Past
316,1982年以降、リリーは飛行機でニューヨークに行った。,1959年以降、リリーは飛行機でニューヨークに行った。,Entailment,0.2277227722772277,SINGLE_year,False,Backward Past
317,1962年以前、リリーは飛行機でニューヨークに行った。,1938年以降、リリーは飛行機でニューヨークに行った。,Neutral,0.2376237623762376,SINGLE_year,False,Backward Past
328,午後2時に、リリーは飛行機でニューヨークに行った。,午前7時以前、リリーは飛行機でニューヨークに行った。,Contradiction,0.2916666666666667,SINGLE_day_time_12,True,Backward Past
432,10月以前音楽コンサートが始まった。,5月以降音楽コンサートが始まった。,Neutral,0.4166666666666667,SINGLE_month,False,Forward Past
466,19時に、音楽コンサートが始まった。,12時以前、音楽コンサートが始まった。,Contradiction,0.2916666666666667,SINGLE_day_time_24,True,Backward Past
497,14日以降、音楽コンサートが始まった。,9日以前、音楽コンサートが始まった。,Contradiction,0.1785714285714285,SINGLE_date,False,Backward Past
534,水曜日以降トラが最後に目撃された。,月曜日以降トラが最後に目撃された。,Entailment,0.2857142857142857,SINGLE_day,False,Forward Past
594,午後2時以前トラが最後に目撃された。,午後7時以降トラが最後に目撃された。,Contradiction,0.2083333333333333,SINGLE_day_time_12,False,Forward Past
598,午後4時以前、トラが最後に目撃された。,午後12時以前、トラが最後に目撃された。,Entailment,0.3333333333333333,SINGLE_day_time_12,False,Backward Past
626,14日に、トラが最後に目撃された。,12日以降、トラが最後に目撃された。,Entailment,0.0714285714285714,SINGLE_date,True,Backward Past
635,23日以前、トラが最後に目撃された。,14日以降、トラが最後に目撃された。,Neutral,0.3214285714285714,SINGLE_date,False,Backward Past
653,午後8時以前私は友人とディナーを食べた。,22時以前私は友人とディナーを食べた。,Entailment,0.125,MULTI_day_time,False,Forward Past
671,月曜日以降私は友人とディナーを食べた。,日曜日以降私は友人とディナーを食べた。,Entailment,0.1428571428571428,SINGLE_day,False,Forward Past
696,午後1時以前、私は友人とディナーを食べた。,午前12時以降、私は友人とディナーを食べた。,Neutral,0.0416666666666666,SINGLE_day_time_12,False,Backward Past
751,5時以降彼は仕事を辞めた。,午後1時以前彼は仕事を辞めた。,Neutral,0.2916666666666667,MULTI_day_time,False,Forward Past
774,水曜日以降彼は仕事を辞めた。,月曜日以前彼は仕事を辞めた。,Contradiction,0.2857142857142857,SINGLE_day,False,Forward Past
817,1902年以降、彼は仕事を辞めた。,1920年以前、彼は仕事を辞めた。,Neutral,0.1782178217821782,SINGLE_year,False,Backward Past
836,午後4時以降、彼は仕事を辞めた。,午前6時以前、彼は仕事を辞めた。,Contradiction,0.4166666666666667,SINGLE_day_time_12,False,Backward Past
